Dimension,Densité,Energy_total,energy_per_site,Temperature,U,Iteration,criter_up,criter_d,criter_p,criter_m
4,1,-28.6982,-1.79364,1e-06,3,147,7.84889e-07,7.70699e-07,9.52263e-07,9.52263e-07
4,1,-28.6982,-1.79364,1e-06,3,147,7.841e-07,7.70595e-07,9.52598e-07,9.52598e-07
4,1,-28.6982,-1.79364,1e-06,3,137,6.05712e-07,5.90377e-07,9.76695e-07,9.76695e-07
4,1,-28.6982,-1.79364,1e-06,3,137,6.02751e-07,6.12191e-07,9.7246e-07,9.7246e-07
4,1,-28.6982,-1.79364,1e-06,3,137,6.05889e-07,5.89212e-07,9.43563e-07,9.43563e-07
4,0.999976,-28.694,-1.79338,1e-06,3,1000,0.000118925,2.79562e-05,0.00022707,0.00022707
4,1,-28.6982,-1.79364,1e-06,3,143,1.78992e-07,1.7933e-07,9.33923e-07,9.33923e-07
4,0.9375,-31.3398,-1.95874,1e-06,3,160,1.02174e-06,1.01691e-06,9.85636e-07,9.85636e-07
4,0.9375,-31.3398,-1.95874,1e-06,3,149,9.3349e-07,9.39921e-07,9.39776e-07,9.39776e-07
4,0.9375,-31.3398,-1.95874,1e-06,3,149,9.34293e-07,9.2366e-07,9.36033e-07,9.36033e-07
4,0.9375,-31.3398,-1.95874,1e-06,3,154,7.34657e-07,7.62662e-07,9.21305e-07,9.21305e-07
4,0.9375,-31.3398,-1.95874,1e-06,3,154,7.3702e-07,7.22507e-07,9.95479e-07,9.95479e-07
4,0.9375,-31.3398,-1.95874,1e-06,3,157,5.93202e-07,5.97762e-07,9.12801e-07,9.12801e-07
4,0.875,-34.2278,-2.13924,1e-06,3,178,9.50945e-07,9.5312e-07,9.94398e-07,9.94398e-07
4,0.875,-34.2278,-2.13924,1e-06,3,178,9.43095e-07,9.49114e-07,9.94873e-07,9.94873e-07
4,0.875,-34.0444,-2.12777,1e-06,3,176,6.69294e-07,6.69293e-07,9.94762e-07,9.94762e-07
4,0.875,-34.0444,-2.12777,1e-06,3,177,6.26541e-07,6.26541e-07,9.32136e-07,9.32136e-07
4,0.875,-34.2278,-2.13924,1e-06,3,187,5.7008e-07,1.20469e-06,9.01341e-07,9.01341e-07
4,0.875,-34.2278,-2.13924,1e-06,3,191,5.37427e-07,7.63096e-07,8.72643e-07,8.72643e-07
