mx,my,mz
0.0119189,0.0106013,0.0137793
0.0082058,0.00659596,-0.0135736
-0.00092856,-0.000370215,0.0138805
0.00421825,0.00318122,-0.0138518
0.0119189,0.0106013,0.0137793
0.0082058,0.00659596,-0.0135736
-0.000928556,-0.000370211,0.0138805
0.00421824,0.00318121,-0.0138518
0.0119189,0.0106013,0.0137793
0.0082058,0.00659596,-0.0135736
-0.00092856,-0.000370215,0.0138805
0.00421825,0.00318122,-0.0138518
0.0119189,0.0106013,0.0137793
0.0082058,0.00659596,-0.0135736
-0.000928556,-0.000370211,0.0138805
0.00421824,0.00318121,-0.0138518
-0.000865601,-0.000316214,0.0138877
0.00426474,0.00322135,-0.0138383
0.0119341,0.0106151,0.0138029
0.00823779,0.00662381,-0.0135563
-0.000865606,-0.000316219,0.0138877
0.00426474,0.00322135,-0.0138383
0.0119341,0.0106151,0.0138029
0.00823778,0.00662381,-0.0135563
-0.000865601,-0.000316214,0.0138877
0.00426474,0.00322135,-0.0138383
0.0119341,0.0106151,0.0138029
0.00823779,0.00662381,-0.0135563
-0.000865606,-0.000316219,0.0138877
0.00426474,0.00322135,-0.0138383
0.0119341,0.0106151,0.0138029
0.00823778,0.00662381,-0.0135563
0.0119189,0.0106013,0.0137793
0.00820581,0.00659597,-0.0135736
-0.000928544,-0.000370201,0.0138805
0.00421826,0.00318123,-0.0138518
0.0119189,0.0106013,0.0137793
0.00820581,0.00659597,-0.0135736
-0.000928547,-0.000370203,0.0138805
0.00421825,0.00318122,-0.0138518
0.0119189,0.0106013,0.0137793
0.00820581,0.00659597,-0.0135736
-0.000928544,-0.000370201,0.0138805
0.00421826,0.00318123,-0.0138518
0.0119189,0.0106013,0.0137793
0.00820581,0.00659597,-0.0135736
-0.000928547,-0.000370203,0.0138805
0.00421825,0.00318122,-0.0138518
-0.000865607,-0.000316219,0.0138877
0.00426473,0.00322134,-0.0138383
0.0119341,0.010615,0.0138029
0.00823779,0.00662381,-0.0135563
-0.000865608,-0.00031622,0.0138877
0.00426474,0.00322135,-0.0138383
0.0119341,0.010615,0.0138029
0.00823778,0.0066238,-0.0135563
-0.000865607,-0.000316219,0.0138877
0.00426473,0.00322134,-0.0138383
0.0119341,0.010615,0.0138029
0.00823779,0.00662381,-0.0135563
-0.000865608,-0.00031622,0.0138877
0.00426474,0.00322135,-0.0138383
0.0119341,0.010615,0.0138029
0.00823778,0.0066238,-0.0135563
0.0119189,0.0106013,0.0137793
0.00820581,0.00659596,-0.0135736
-0.000928554,-0.000370209,0.0138805
0.00421825,0.00318122,-0.0138518
0.0119189,0.0106013,0.0137793
0.00820581,0.00659596,-0.0135736
-0.000928552,-0.000370208,0.0138805
0.00421825,0.00318122,-0.0138518
0.0119189,0.0106013,0.0137793
0.00820581,0.00659596,-0.0135736
