mx,my,mz
-3.97203e-05,-5.22593e-05,-9.12331e-05
9.61036e-05,3.49497e-05,5.28634e-05
-0.000115938,-3.0555e-06,7.97063e-06
8.89847e-05,-2.98279e-05,-6.5154e-05
-2.94081e-05,5.01911e-05,9.55454e-05
9.33861e-05,3.39571e-05,5.13721e-05
-0.000112082,-2.95641e-06,7.7049e-06
8.96572e-05,-3.00522e-05,-6.56429e-05
-3.05704e-05,5.21641e-05,9.92882e-05
-4.03837e-05,-5.31282e-05,-9.27413e-05
-0.000113936,-3.00733e-06,7.83426e-06
8.71221e-05,-2.92052e-05,-6.37943e-05
-2.95567e-05,5.04306e-05,9.59923e-05
-4.06944e-05,-5.35201e-05,-9.34433e-05
9.7047e-05,3.53005e-05,5.33906e-05
9.05498e-05,-3.03453e-05,-6.62959e-05
-3.00423e-05,5.12625e-05,9.75792e-05
-3.9545e-05,-5.20151e-05,-9.08073e-05
9.38192e-05,3.41323e-05,5.16205e-05
-0.000114799,-3.02176e-06,7.8981e-06
-3.02617e-05,5.16522e-05,9.83253e-05
-4.10886e-05,-5.40508e-05,-9.43652e-05
9.53732e-05,3.4683e-05,5.24708e-05
-0.000111558,-2.94242e-06,7.6711e-06
8.75428e-05,-2.9342e-05,-6.40925e-05
