mx,my,mz
-1.02336e-05,-2.22556e-05,-1.90126e-06
9.67633e-06,2.22169e-05,2.31149e-06
-9.57932e-06,-2.18757e-05,-2.54854e-06
1.01528e-05,2.19507e-05,2.18466e-06
9.87248e-06,2.21466e-05,2.08182e-06
-9.28123e-06,-2.19844e-05,-2.43104e-06
9.40357e-06,2.16178e-05,2.68994e-06
-9.86822e-06,-2.16923e-05,-2.39359e-06
-1.01507e-05,-2.16705e-05,-1.99548e-06
9.68012e-06,2.15201e-05,2.36381e-06
-9.88937e-06,-2.09828e-05,-2.56846e-06
1.03408e-05,2.1189e-05,2.25105e-06
1.04048e-05,2.19329e-05,2.2727e-06
-9.74763e-06,-2.17766e-05,-2.68295e-06
9.975e-06,2.14505e-05,2.89086e-06
-1.04363e-05,-2.14753e-05,-2.54316e-06
