mx,my,mz
-1.38591e-05,-6.36634e-06,-1.74799e-06
1.36968e-05,6.06613e-06,2.22337e-06
-1.28463e-05,-5.5367e-06,-2.44492e-06
1.33849e-05,5.49385e-06,1.98018e-06
1.40164e-05,6.82134e-06,1.96046e-06
-1.33614e-05,-6.29135e-06,-2.26617e-06
1.29101e-05,5.8675e-06,2.48643e-06
-1.35432e-05,-5.6418e-06,-2.10847e-06
-1.39246e-05,-7.04967e-06,-1.21015e-06
1.35708e-05,6.87037e-06,1.70698e-06
-1.2469e-05,-5.59993e-06,-1.85424e-06
1.32554e-05,5.80417e-06,1.21201e-06
1.37005e-05,6.87284e-06,2.11357e-06
-1.34121e-05,-6.40488e-06,-2.73078e-06
1.25962e-05,5.38922e-06,2.77297e-06
-1.26851e-05,-5.36111e-06,-2.09403e-06
