Dim,density,energy_total,energy_per_site,mu_max,mu_min,mz_max,T,U,iter,up,down,m,p
4,1,-19.9487,-1.24679,0,0,0.27598,1e-06,3,101,8.97213e-07,8.97214e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.27598,0.001001,3,101,8.97214e-07,8.97214e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.27598,0.002002,3,101,8.97213e-07,8.97214e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.27598,0.003003,3,101,8.97212e-07,8.97214e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.27598,0.004004,3,101,8.97212e-07,8.97214e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.27598,0.00500501,3,101,8.97213e-07,8.97214e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.00600601,3,95,9.84184e-07,9.84187e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.00700701,3,95,9.84185e-07,9.84187e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.00800801,3,95,9.84181e-07,9.84184e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.00900901,3,95,9.84189e-07,9.84184e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.01001,3,95,9.84178e-07,9.84182e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.011011,3,95,9.84181e-07,9.84179e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.012012,3,95,9.8418e-07,9.84176e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238554,0.013013,3,96,9.19053e-07,9.19053e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238554,0.014014,3,96,9.18545e-07,9.18545e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238554,0.015015,3,96,9.17905e-07,9.17905e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238554,0.016016,3,96,9.17125e-07,9.17125e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238554,0.017017,3,96,9.16202e-07,9.16202e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238554,0.018018,3,96,9.15132e-07,9.15132e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238554,0.019019,3,96,9.13917e-07,9.13917e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238554,0.02002,3,96,9.12558e-07,9.12554e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.021021,3,94,9.47243e-07,9.47241e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.022022,3,94,9.52008e-07,9.51977e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.023023,3,94,9.57141e-07,9.57129e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.024024,3,94,9.62637e-07,9.62646e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.025025,3,94,9.68577e-07,9.68543e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.026026,3,94,9.74848e-07,9.74863e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.027027,3,94,9.81575e-07,9.81591e-07,0,0
4,1,-19.9487,-1.24679,0,0,0.175328,0.028028,3,94,9.88761e-07,9.88769e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238552,0.029029,3,83,9.02511e-07,9.02511e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238552,0.03003,3,83,9.00292e-07,9.00292e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238551,0.031031,3,83,8.97982e-07,8.97982e-07,0,0
4,1,-21.5397,-1.34623,0,0,0.238549,0.032032,3,83,8.95586e-07,8.95588e-07,0,0
4,1,-21.5396,-1.34623,0,0,0.238548,0.033033,3,82,9.98651e-07,9.98654e-07,0,0
4,1,-21.5396,-1.34622,0,0,0.238545,0.034034,3,82,9.95816e-07,9.95818e-07,0,0
4,1,-21.5395,-1.34622,0,0,0.238542,0.035035,3,82,9.92899e-07,9.929e-07,0,0
4,1,-21.5395,-1.34622,0,0,0.238538,0.036036,3,82,9.89907e-07,9.8991e-07,0,0
4,1,-21.5394,-1.34621,0,0,0.238533,0.037037,3,82,9.86849e-07,9.86857e-07,0,0
4,1,-19.9485,-1.24678,0,0,0.175328,0.038038,3,111,9.73424e-07,9.73425e-07,0,0
4,1,-19.9485,-1.24678,0,0,0.175328,0.039039,3,111,9.83987e-07,9.83987e-07,0,0
4,1,-19.9484,-1.24678,0,0,0.175329,0.04004,3,111,9.95462e-07,9.95462e-07,0,0
4,1,-19.9483,-1.24677,0,0,0.175329,0.041041,3,112,8.86659e-07,8.86659e-07,0,0
4,1,-19.9482,-1.24676,0,0,0.175329,0.042042,3,112,8.98444e-07,8.98444e-07,0,0
4,1,-19.9481,-1.24676,0,0,0.175329,0.043043,3,112,9.11295e-07,9.11297e-07,0,0
4,1,-19.9479,-1.24675,0,0,0.175329,0.044044,3,112,9.25332e-07,9.25334e-07,0,0
4,1,-19.9477,-1.24673,0,0,0.275946,0.045045,3,99,9.81871e-07,9.81871e-07,0,0
4,1,-19.9475,-1.24672,0,0,0.27594,0.046046,3,99,9.81769e-07,9.81767e-07,0,0
