Dim,density,energy_total,energy_per_site,mu_max,mu_min,mz_max,T,U,iter,up,down,m,p
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.0913168,1e-06,3,134,1.12274e-06,1.11546e-06,9.74929e-07,9.74929e-07
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.0913168,0.001001,3,134,1.10277e-06,1.15088e-06,9.66237e-07,9.66237e-07
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.0913168,0.002002,3,134,1.11048e-06,1.13768e-06,9.69271e-07,9.69271e-07
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.0195009,0.003003,3,134,9.32677e-07,9.54913e-07,1.03887e-06,1.03887e-06
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.0195009,0.004004,3,134,9.40187e-07,9.48381e-07,1.0391e-06,1.0391e-06
4,1,-28.6982,-1.79364,0.093427,0.0934266,0.0195009,0.00500501,3,134,9.67936e-07,9.39712e-07,1.06185e-06,1.06185e-06
4,1,-28.6982,-1.79364,0.0934269,0.0934267,0.220878,0.00600601,3,125,9.69074e-07,1.06901e-06,2.07321e-06,2.07321e-06
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.220878,0.00700701,3,125,9.87363e-07,9.34321e-07,2.07259e-06,2.07259e-06
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.220878,0.00800801,3,125,1.04142e-06,5.75932e-07,2.07289e-06,2.07289e-06
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.220878,0.00900901,3,125,9.74219e-07,9.8313e-07,2.07241e-06,2.07241e-06
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.220878,0.01001,3,125,9.69943e-07,1.01591e-06,2.07278e-06,2.07278e-06
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.060665,0.011011,3,129,1.03007e-06,1.05876e-06,9.65321e-07,9.65321e-07
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.060665,0.012012,3,129,1.04781e-06,1.03456e-06,9.65095e-07,9.65095e-07
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.060665,0.013013,3,129,1.04047e-06,1.04373e-06,9.66943e-07,9.66943e-07
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.060665,0.014014,3,129,1.06006e-06,1.01481e-06,9.63891e-07,9.63891e-07
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.0284553,0.015015,3,127,1.16598e-06,1.19769e-06,9.71716e-07,9.71716e-07
