Dim,density,energy_total,energy_per_site,mu_max,mu_min,mz_max,T,U,iter,up,down,m,p
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.0457464,1e-06,3,127,1.16768e-06,1.14752e-06,9.16119e-07,9.16119e-07
5,1,-32.5082,-1.30033,0.020621,0.00578482,0.139879,1e-06,3,2114,1.05083e-06,9.98274e-07,1.40002e-06,1.40002e-06
6,1,-65.5725,-1.82146,0.0869547,0.0869547,0.278043,1e-06,3,137,9.96002e-07,1.01071e-06,2.82377e-06,2.82377e-06
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.0193534,1e-06,3,135,1.06705e-06,1.0099e-06,9.35827e-07,9.35827e-07
5,1,-32.5082,-1.30033,0.0206115,0.0057863,0.131332,1e-06,3,2449,1.19544e-06,1.10845e-06,9.99616e-07,9.99616e-07
6,1,-65.5725,-1.82146,0.0869547,0.0869547,0.00133601,1e-06,3,153,9.48862e-07,9.46263e-07,9.61262e-07,9.61262e-07
7,1,-80.6905,-1.64674,0.0759341,0.0638249,0.257828,1e-06,3,372,1.0204e-06,9.9613e-07,2.27386e-06,2.27386e-06
8,1,-116.539,-1.82092,0.0828959,0.0828959,0.164202,1e-06,3,210,1.02746e-06,1.01264e-06,9.8218e-07,9.8218e-07
9,1,-140.476,-1.73428,0.0808315,0.0750478,0.273604,1e-06,3,412,1.01294e-06,1.01263e-06,9.9722e-07,9.9722e-07
10,1,-181.742,-1.81742,0.0810311,0.0810311,0.0571588,1e-06,3,283,9.8996e-07,1.00471e-06,1.00948e-06,1.00948e-06
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.0329765,1e-06,3,137,1.02582e-06,9.86761e-07,1.04908e-06,1.04908e-06
5,1,-32.5082,-1.30033,0.0206065,0.00578577,0.136011,1e-06,3,2737,1.26196e-06,1.11694e-06,9.9797e-07,9.9797e-07
6,1,-65.5725,-1.82146,0.0869547,0.0869547,0.248059,1e-06,3,147,1.0159e-06,9.86939e-07,2.17702e-06,2.17702e-06
7,1,-80.6902,-1.64674,0.0750206,0.0639241,0.256302,1e-06,3,5000,2.49171e-06,2.5153e-06,2.71712e-06,2.71712e-06
8,1,-116.539,-1.82092,0.0828959,0.0828959,0.279057,1e-06,3,181,1.00875e-06,9.97269e-07,4.31028e-06,4.31028e-06
9,1,-140.476,-1.73428,0.0810357,0.0750485,0.273836,1e-06,3,407,9.80773e-07,9.80516e-07,1.11035e-06,1.11035e-06
10,1,-181.742,-1.81742,0.0810312,0.0810311,0.0792308,1e-06,3,266,9.98765e-07,1.006e-06,1.68127e-06,1.68127e-06
21,1,-797.522,-1.80844,0.080535,0.0803055,0.274486,1e-06,3,4691,9.96515e-07,1.00428e-06,1.06737e-06,1.06737e-06
