Dim,density,energy_total,energy_per_site,mu_max,mu_min,mz_max,T,U,iter,up,down,m,p
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.28057,1e-06,3,125,9.63312e-07,9.32989e-07,4.05897e-06,4.05897e-06
5,1,-32.5082,-1.30033,0.0206117,0.00578562,0.133824,1e-06,3,2092,1.13443e-06,1.15875e-06,9.9862e-07,9.9862e-07
6,1,-65.5725,-1.82146,0.0869547,0.0869547,0.293802,1e-06,3,120,9.63134e-07,9.84178e-07,1.46192e-05,1.46192e-05
7,1,-80.6905,-1.64674,0.0758925,0.0637883,0.262017,1e-06,3,400,1.02237e-06,9.98264e-07,1.46139e-06,1.46139e-06
8,1,-116.539,-1.82092,0.0828959,0.0828959,0.27374,1e-06,3,201,9.60738e-07,9.57031e-07,3.54941e-06,3.54941e-06
9,1,-140.476,-1.73428,0.0810199,0.0750484,0.27057,1e-06,3,444,9.89798e-07,9.89154e-07,1.15283e-06,1.15283e-06
10,1,-181.742,-1.81742,0.0810311,0.0810311,0.250315,1e-06,3,271,1.01151e-06,9.73891e-07,2.61577e-06,2.61577e-06
11,1,-214.096,-1.76939,0.0815547,0.0783611,0.279248,1e-06,3,762,9.87921e-07,9.87997e-07,1.00202e-06,1.00202e-06
12,1,-261.61,-1.81674,0.080408,0.0804079,0.282847,1e-06,3,293,9.81472e-07,9.80875e-07,1.62979e-05,1.62979e-05
4,1,-28.6982,-1.79364,0.0934268,0.0934268,0.103557,1e-06,3,131,9.67278e-07,1.01227e-06,9.84718e-07,9.84718e-07
5,1,-32.5082,-1.30033,0.0206069,0.00578593,0.14039,1e-06,3,2821,1.25113e-06,1.2034e-06,9.98898e-07,9.98898e-07
6,1,-65.5725,-1.82146,0.0869547,0.0869547,0.186801,1e-06,3,145,9.52635e-07,9.63149e-07,1.90862e-06,1.90862e-06
7,1,-80.6902,-1.64674,0.0743666,0.0640708,0.254234,1e-06,3,913,1.0727e-06,1.08462e-06,9.99987e-07,9.99987e-07
8,1,-116.539,-1.82092,0.0828959,0.0828959,0.0936651,1e-06,3,207,1.09277e-06,1.07842e-06,9.91712e-07,9.91712e-07
9,1,-140.476,-1.73428,0.0810344,0.0750485,0.274688,1e-06,3,419,9.95044e-07,9.95972e-07,1.44791e-06,1.44791e-06
10,1,-181.742,-1.81742,0.0810312,0.0810311,0.271767,1e-06,3,267,9.88982e-07,9.77752e-07,3.30699e-06,3.30699e-06
11,1,-214.096,-1.76939,0.0815748,0.0783628,0.278643,1e-06,3,757,9.9642e-07,9.96342e-07,1.12433e-06,1.12433e-06
12,1,-261.61,-1.81674,0.080408,0.0804079,0.0630602,1e-06,3,361,1.59267e-06,1.60861e-06,9.87821e-07,9.87821e-07
4,1,-28.6982,-1.79364,0.093427,0.0934267,0.136531,1e-06,3,126,9.97714e-07,9.91964e-07,9.1103e-07,9.1103e-07
5,1,-32.5082,-1.30033,0.0206056,0.00578485,0.0936399,1e-06,3,3288,9.98447e-07,1.14143e-06,1.0456e-06,1.0456e-06
6,1,-65.5725,-1.82146,0.0869547,0.0869546,0.294763,1e-06,3,99,9.78568e-07,9.60222e-07,4.71258e-05,4.71258e-05
