mu_max,T
0.27598,1
0.27598,0.001001
0.27598,0.002002
0.27598,0.003003
0.27598,0.004004
0.27598,0.00500501
0.175328,0.00600601
0.175328,0.00700701
0.175328,0.00800801
0.175328,0.00900901
0.175328,0.01001
0.175328,0.011011
0.175328,0.012012
0.238554,0.013013
0.238554,0.014014
0.238554,0.015015
0.238554,0.016016
0.238554,0.017017
0.238554,0.018018
0.238554,0.019019
0.238554,0.02002
0.175328,0.021021
0.175328,0.022022
0.175328,0.023023
0.175328,0.024024
0.175328,0.025025
0.175328,0.026026
0.175328,0.027027
0.175328,0.028028
0.238552,0.029029
0.238552,0.03003
0.238551,0.031031
0.238549,0.032032
0.238548,0.033033
0.238545,0.034034
0.238542,0.035035
0.238538,0.036036
0.238533,0.037037
0.175328,0.038038
0.175328,0.039039
0.175329,0.04004
0.175329,0.041041
0.175329,0.042042
0.175329,0.043043
0.175329,0.044044
0.275946,0.045045
0.27594,0.046046
0.275931,0.047047
0.275922,0.048048
0.275912,0.049049
0.2759,0.0500501
0.275886,0.0510511
0.275871,0.0520521
0.238091,0.0530531
0.238025,0.0540541
0.237953,0.0550551
0.237873,0.0560561
0.237786,0.0570571
0.237691,0.0580581
0.237588,0.0590591
0.237477,0.0600601
0.237357,0.0610611
0.237227,0.0620621
0.237087,0.0630631
0.236937,0.0640641
0.236776,0.0650651
0.236605,0.0660661
0.236422,0.0670671
0.236227,0.0680681
0.236021,0.0690691
0.235801,0.0700701
0.235567,0.0710711
0.23532,0.0720721
0.235058,0.0730731
0.234782,0.0740741
0.23449,0.0750751
0.175117,0.0760761
0.175093,0.0770771
0.175068,0.0780781
0.17504,0.0790791
0.175011,0.0800801
0.174979,0.0810811
0.174945,0.0820821
0.231532,0.0830831
0.231073,0.0840841
0.230592,0.0850851
0.230088,0.0860861
0.229559,0.0870871
0.229004,0.0880881
0.229022,0.0890891
0.229088,0.0900901
0.229157,0.0910911
0.22923,0.0920921
0.229305,0.0930931
0.229385,0.0940941
0.229469,0.0950951
0.229557,0.0960961
0.22965,0.0970971
0.229748,0.0980981
0.229853,0.0990991
0.229963,0.1001
0.230082,0.101101
0.230209,0.102102
0.230345,0.103103
0.230493,0.104104
0.230654,0.105105
0.230831,0.106106
0.231027,0.107107
0.231248,0.108108
0.2315,0.109109
0.305522,0.11011
0.305512,0.111111
0.305501,0.112112
0.305489,0.113113
0.305476,0.114114
0.305464,0.115115
0.30545,0.116116
0.305435,0.117117
0.30542,0.118118
0.305404,0.119119
0.305387,0.12012
0.305369,0.121121
0.305351,0.122122
0.305331,0.123123
0.305311,0.124124
0.305289,0.125125
0.305267,0.126126
0.305244,0.127127
0.30522,0.128128
0.305195,0.129129
0.305168,0.13013
0.305141,0.131131
0.305113,0.132132
0.305083,0.133133
0.305053,0.134134
0.305021,0.135135
0.304988,0.136136
0.304954,0.137137
0.304918,0.138138
0.304882,0.139139
0.304844,0.14014
0.304805,0.141141
0.304764,0.142142
0.304722,0.143143
0.304679,0.144144
0.304635,0.145145
0.304589,0.146146
0.304541,0.147147
0.304492,0.148148
0.304442,0.149149
0.30439,0.15015
0.304337,0.151151
0.304282,0.152152
0.304225,0.153153
0.304167,0.154154
0.304108,0.155155
0.304046,0.156156
0.303983,0.157157
0.303919,0.158158
0.303852,0.159159
0.303784,0.16016
0.303715,0.161161
0.303643,0.162162
0.30357,0.163163
0.303495,0.164164
0.303418,0.165165
0.30334,0.166166
0.303259,0.167167
0.303177,0.168168
0.303093,0.169169
0.303007,0.17017
0.302918,0.171171
0.302829,0.172172
0.302737,0.173173
0.302643,0.174174
0.302547,0.175175
0.302449,0.176176
0.302349,0.177177
0.302247,0.178178
0.302143,0.179179
0.302037,0.18018
0.301929,0.181181
0.301819,0.182182
0.301707,0.183183
0.301592,0.184184
0.301475,0.185185
0.301357,0.186186
0.301235,0.187187
0.301112,0.188188
0.300987,0.189189
0.300859,0.19019
0.300729,0.191191
0.300597,0.192192
0.300463,0.193193
0.300326,0.194194
0.300187,0.195195
0.300045,0.196196
0.299901,0.197197
0.299755,0.198198
0.299607,0.199199
0.299456,0.2002
0.299303,0.201201
0.299147,0.202202
0.298989,0.203203
0.298828,0.204204
0.298665,0.205205
0.2985,0.206206
0.298332,0.207207
0.298161,0.208208
0.297988,0.209209
0.297813,0.21021
0.297635,0.211211
0.297454,0.212212
0.297271,0.213213
0.297085,0.214214
